<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201027,7.4,7.6,7.3,7.5,221100
ACB,20201027,24.7,24.9,24.4,24.4,11726997
ACM,20201027,0.8,0.9,0.8,0.8,1092610
ADC,20201027,13.8,13.8,13.8,13.8,100
AMV,20201027,16.7,16.8,16.6,16.6,252000
API,20201027,8.9,8.9,8.9,8.9,100
APP,20201027,3.3,3.3,3.3,3.3,2700
APS,20201027,2.8,2.8,2.7,2.7,14300
ART,20201027,2.4,2.5,2.4,2.4,381000
BAX,20201027,60,61.3,58.8,58.8,57600
BCC,20201027,6.9,6.9,6.6,6.6,121780
BCF,20201027,36.4,36.8,36.4,36.8,2000
BII,20201027,1,1.1,1,1.1,29000
BKC,20201027,5.9,5.9,5.9,5.9,40
BNA,20201027,24.5,24.8,24.2,24.7,123600
BST,20201027,12.3,14.4,12.3,14.4,700
BTS,20201027,4.4,4.4,4.4,4.4,100
BVS,20201027,10.5,10.5,10.4,10.4,140451
BXH,20201027,12.7,12.7,12.6,12.6,1700
C69,20201027,6.6,6.7,6.4,6.6,67050
C92,20201027,3.5,3.5,3.5,3.5,1000
CAP,20201027,33,33,32.9,33,12910
CDN,20201027,22.5,23,22.5,23,1600
CEO,20201027,7.2,7.2,7,7,1453907
CET,20201027,2,2.3,2,2.2,93000
CIA,20201027,10.8,10.8,10.6,10.6,21260
CKV,20201027,11.4,12.6,11.4,12.6,200
CLH,20201027,17.2,17.2,17,17,1100
CMS,20201027,2.7,2.7,2.7,2.7,9904
CTB,20201027,29.6,29.6,29.6,29.6,150
CTP,20201027,3.5,3.5,3.3,3.4,20200
CVN,20201027,17.1,17.2,16.9,17.1,47210
D11,20201027,20.8,21.8,20.7,21.8,1300
DAD,20201027,15.1,15.8,15.1,15.8,200
DDG,20201027,28.2,28.4,28.1,28.2,72800
DHT,20201027,54.4,54.5,53.5,54.2,19768
DNC,20201027,49.1,49.1,49.1,49.1,110
DNM,20201027,47.9,48.6,47.6,47.6,9902
DP3,20201027,75.1,81.5,75.1,81.5,400
DPC,20201027,15,15,13.6,13.6,1100
DS3,20201027,4,4.1,4,4.1,24100
DST,20201027,2.9,3,2.9,3,284642
DTD,20201027,23.4,24,22.8,24,199633
DXP,20201027,12.9,12.9,12.6,12.6,123753
DZM,20201027,3.2,3.5,3.2,3.3,31910
EID,20201027,12.2,12.2,12.2,12.2,1700
FID,20201027,1,1.1,1,1.1,23400
GKM,20201027,16.7,16.7,16.5,16.7,103805
GMX,20201027,26,26,26,26,5063
HAD,20201027,15.3,15.7,15.2,15.6,8000
HAT,20201027,23.5,23.5,22.9,22.9,8600
HBS,20201027,2.2,2.2,2.1,2.1,300
HCC,20201027,10.7,10.8,10.6,10.6,26500
HDA,20201027,7.6,8,7.5,7.7,69100
HEV,20201027,13.3,13.3,13.3,13.3,100
HHG,20201027,1.2,1.2,1.2,1.2,29000
HHP,20201027,11.4,11.9,11.4,11.6,144300
HJS,20201027,31.5,31.5,31.5,31.5,4000
HLD,20201027,27.8,28,27.5,27.8,72980
HMH,20201027,9.2,9.2,9.2,9.2,1000
HOM,20201027,3.1,3.2,3,3.2,19702
HUT,20201027,2.4,2.5,2.4,2.4,1190636
ICG,20201027,6.6,7,6.3,6.3,300
IDC,20201027,25.5,26,24.7,25.4,58300
IDJ,20201027,13.7,13.8,13.5,13.5,101432
IDV,20201027,56.2,56.2,54.5,54.5,32294
INN,20201027,29.7,29.7,29.5,29.5,2500
ITQ,20201027,2.3,2.4,2.2,2.3,23800
IVS,20201027,5.9,5.9,5.9,5.9,9000
KDM,20201027,2,2,2,2,14000
KKC,20201027,6,6,5.9,5.9,7800
KLF,20201027,1.8,1.9,1.8,1.8,3136331
KSD,20201027,4,4,4,4,400
KSQ,20201027,1.5,1.5,1.4,1.4,52505
KTS,20201027,11.5,11.5,11.5,11.5,100
KTT,20201027,3.9,3.9,3.9,3.9,500
KVC,20201027,1.2,1.2,1.1,1.1,498500
L14,20201027,52,52.8,51.3,51.3,57130
L18,20201027,9.2,9.2,8.9,8.9,300
L43,20201027,2.7,2.7,2.6,2.6,7100
LAS,20201027,7.9,8.1,7.9,8,212820
LCS,20201027,1.9,2,1.9,2,20200
LDP,20201027,12,12,11.7,11.7,1700
LHC,20201027,45,46.6,45,46.2,45600
LIG,20201027,5.5,5.5,4.9,5.1,333477
LM7,20201027,3.3,3.3,3.3,3.3,100
LUT,20201027,2,2,1.9,2,600
MAC,20201027,6.8,6.8,6.5,6.5,1300
